월,평균기온,평균최고기온,평균최저기온,평균상대습도,최소상대습도,월합강수량,평균풍속,최대풍속,평균운량,일조율,합계 일사량,최심적설
1,-4,0.1,-7.3,48,16,8.5,1.9,7.2,4.3,65.01,158.99,3.5
2,-1.6,3.3,-5.9,45,13,29.6,2.2,6.3,3.9,66.53,309.28,4.1
3,8.1,13.6,3.8,59,13,49.5,1.9,6.9,5.2,56.38,446.41,0
4,13,18.5,8.1,55,8,130.3,2,8.8,4.7,56.54,513.19,0
5,18.2,23.3,13.4,63,22,222,1.7,8,5.4,52.66,561.24,0
6,23.1,28.4,18.9,63,19,171.5,1.7,5.7,5.9,53.51,602.59,0
7,27.8,32.1,24.2,68,29,185.6,1.5,4.2,5.1,52.64,561.1,0
8,28.8,33.3,25.2,65,25,202.6,1.7,7.1,5.8,55.19,517.16,0
9,21.5,26,17.6,61,23,68.5,1.6,5.7,5.1,58.6,470.96,0
10,13.1,18.6,8.5,59,16,120.5,1.5,6.1,3.7,69.43,403.34,0
11,7.8,13.2,3.6,58,12,79.1,1.4,5.6,4,58.13,265.35,8.8
12,-0.6,4.1,-4.7,46,16,16.4,1.8,5.9,3.8,66.92,253.64,1.7
