교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통),지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통),공사형태 (공통);,지도표출구분
7130, ,명덕초교입구(연등),2,2297,740,산40-3 임,310,310,1,2, , , , ,106,82-0000006800,,6268134,6800,10700, , 
7132, ,우신고후문(연등),1,1562,530,86-4전,330,330,1,2, , , , ,104,82-0000006802,,194753,6802,11000, , 
7134, ,우리유앤미아파트(연등)2,1,5464,530,501-13도,330,330,1,2, , , , ,104,82-0000006804,,1194891,6804,10200, , 
7136, ,낙성대역앞(연등),1,4494,620,산32-81 임,290,290,1,2, , , , ,105,82-0000006806,,3140241,6806,10100, , 
7137, ,제일제당앞(연등),1,1431,530,609-23도,330,330,1,2, , , , ,104,82-0000006807,,1185762,6807,10200, , 
7146, ,공진중학교(연등)2,1,2891,500,33-2대,300,300,1,2, , , , ,104,82-0000006816,,1239993,6816,10400, , 
7148, ,보훈약국(연등),2,2173,710,200-105 천,360,360,1,2, , , , ,106,82-0000006818,,6184045,6818,11400, , 
7546, ,청진상가,2,0,110, ,120,120,1,2, , , , ,107,82-0000007216,,3371303,7216,12600, , 
7180, ,금천경찰서(연등)2,3,1310,620,1723 대,260,260,1,2, , , , ,105,82-0000006850,,2141623,6850,10200, , 
7185, ,올림픽공원북2문(연등)1,2,2203,740,435-1대,310,310,1,2, , , , ,106,82-0000006855,,6230384,6855,10800, , 
7549, ,문래하이테크시티,2,0,560,16-84도,170,170,1,2, , , , ,104,82-0000007219,,2138091,7219,12100, , 
7550, ,신정교하부,2,0,560,43-1도,170,170,1,2, , , , ,104,82-0000007220,,1199911,7220,12300, , 
7597, ,청계9가(연등)1,3,0,200,129-81도,180,180,1,2, , , , ,109,82-0000007267,,4350993,7267,10200, , 
7607, ,청계4가(연등),3,0,140, ,110,110,1,2, , , , ,108,82-0000007277,,4300275,7277,15200, , 
7610, ,KT한강로빌딩(연등),1,0,170,2-216철,160,160,1,2, , , , ,108,82-0000007280,,3252462,7280,12500, , 
7620, ,구파발역정류장(연등),1,0,380,52-27도,390,390,1,2, , , , ,108,82-0000007290,,2455983,7290,11200, , 
7621, ,청계5가(연등),3,0,110, ,150,150,1,2, , , , ,107,82-0000007291,,4311003,7291,16300, , 
7628, ,이대역(연등)1,1,0,440,144-2 학,210,210,1,2, , , , ,108,82-0000007298,,3208911,7298,10800, , 
