사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
161307,2013099,1111013400,11110001,서울특별시 종로구1,서울특별시 종로구 경운동(안국역 부근),4,4,0,0,3,1,126.9855436,37.57653312,"{""type"":""Polygon"",""coordinates"":[[[126.9871445,37.5778073],[126.9868014,37.5780314],[126.98641,37.5781979],[126.9859853,37.5783005],[126.9855436,37.5783351],[126.9851018,37.5783005],[126.9846771,37.5781979],[126.9842857,37.5780314],[126.9839426,37.5778073],[126.983661,37.5775342],[126.9834518,37.5772227],[126.9833229,37.5768847],[126.9832794,37.5765331],[126.983323,37.5761816],[126.9834518,37.5758435],[126.983661,37.575532],[126.9839426,37.5752589],[126.9842857,37.5750348],[126.9846771,37.5748683],[126.9851019,37.5747658],[126.9855436,37.5747311],[126.9859852,37.5747658],[126.98641,37.5748683],[126.9868014,37.5750348],[126.9871445,37.5752589],[126.9874261,37.575532],[126.9876353,37.5758435],[126.9877641,37.5761816],[126.9878077,37.5765331],[126.9877642,37.5768847],[126.9876353,37.5772227],[126.9874261,37.5775342],[126.9871445,37.5778073]]]}"
153927,2013099,1111012300,11110002,서울특별시 종로구2,서울특별시 종로구 서린동(SK빌딩 부근),4,4,0,1,2,1,126.9810696,37.57027931,"{""type"":""Polygon"",""coordinates"":[[[126.9826705,37.5715535],[126.9823274,37.5717776],[126.981936,37.5719441],[126.9815113,37.5720467],[126.9810696,37.5720813],[126.9806279,37.5720467],[126.9802032,37.5719441],[126.9798118,37.5717776],[126.9794688,37.5715535],[126.9791872,37.5712804],[126.978978,37.5709689],[126.9788492,37.5706308],[126.9788057,37.5702793],[126.9788492,37.5699277],[126.9789781,37.5695897],[126.9791873,37.5692782],[126.9794688,37.5690051],[126.9798119,37.568781],[126.9802033,37.5686145],[126.980628,37.5685119],[126.9810696,37.5684773],[126.9815113,37.5685119],[126.981936,37.5686145],[126.9823274,37.568781],[126.9826704,37.5690051],[126.982952,37.5692782],[126.9831612,37.5695897],[126.98329,37.5699277],[126.9833335,37.5702793],[126.98329,37.5706308],[126.9831612,37.5709689],[126.982952,37.5712804],[126.9826705,37.5715535]]]}"
153929,2013099,1111017500,11110003,서울특별시 종로구3,서울특별시 종로구 숭인동(동묘앞역_일반국도6호선_진출 부근),5,5,0,2,2,1,127.0152428,37.57299394,"{""type"":""Polygon"",""coordinates"":[[[127.0168437,37.5742681],[127.0165006,37.5744922],[127.0161092,37.5746588],[127.0156845,37.5747613],[127.0152428,37.5747959],[127.0148011,37.5747613],[127.0143763,37.5746588],[127.0139849,37.5744922],[127.0136418,37.5742681],[127.0133603,37.5739951],[127.0131511,37.5736835],[127.0130222,37.5733455],[127.0129788,37.5729939],[127.0130223,37.5726424],[127.0131511,37.5723043],[127.0133603,37.5719928],[127.0136419,37.5717197],[127.013985,37.5714956],[127.0143764,37.5713291],[127.0148011,37.5712266],[127.0152428,37.571192],[127.0156844,37.5712266],[127.0161091,37.5713291],[127.0165005,37.5714956],[127.0168436,37.5717197],[127.0171252,37.5719928],[127.0173344,37.5723043],[127.0174632,37.5726424],[127.0175068,37.5729939],[127.0174633,37.5733455],[127.0173344,37.5736835],[127.0171252,37.5739951],[127.0168437,37.5742681]]]}"
139637,2013099,1114016300,11140001,서울특별시 중구1,서울특별시 중구 흥인동(다산교(남단) 부근),4,4,0,1,2,1,127.0154352,37.56971443,"{""type"":""Polygon"",""coordinates"":[[[127.017036,37.5709886],[127.016693,37.5712127],[127.0163016,37.5713792],[127.0158769,37.5714818],[127.0154352,37.5715164],[127.0149935,37.5714818],[127.0145688,37.5713792],[127.0141774,37.5712127],[127.0138343,37.5709886],[127.0135528,37.5707155],[127.0133436,37.570404],[127.0132148,37.570066],[127.0131713,37.5697144],[127.0132148,37.5693629],[127.0133436,37.5690248],[127.0135529,37.5687133],[127.0138344,37.5684402],[127.0141775,37.5682161],[127.0145689,37.5680496],[127.0149935,37.5679471],[127.0154352,37.5679124],[127.0158768,37.5679471],[127.0163015,37.5680496],[127.0166929,37.5682161],[127.017036,37.5684402],[127.0173175,37.5687133],[127.0175267,37.5690248],[127.0176556,37.5693629],[127.0176991,37.5697144],[127.0176556,37.570066],[127.0175268,37.570404],[127.0173176,37.5707155],[127.017036,37.5709886]]]}"
153931,2013099,1117012800,11170001,서울특별시 용산구1,서울특별시 용산구 한강로3가(용산대우드림월드3차_한강로_진 부근),5,5,0,3,2,0,126.9617903,37.52286839,"{""type"":""Polygon"",""coordinates"":[[[126.9633901,37.5241426],[126.9630473,37.5243667],[126.9626561,37.5245332],[126.9622317,37.5246358],[126.9617903,37.5246704],[126.9613489,37.5246358],[126.9609245,37.5245332],[126.9605333,37.5243667],[126.9601904,37.5241426],[126.9599091,37.5238695],[126.9597,37.523558],[126.9595713,37.5232199],[126.9595278,37.5228684],[126.9595713,37.5225168],[126.9597,37.5221788],[126.9599091,37.5218672],[126.9601905,37.5215942],[126.9605333,37.5213701],[126.9609245,37.5212036],[126.9613489,37.521101],[126.9617903,37.5210664],[126.9622317,37.521101],[126.9626561,37.5212036],[126.9630472,37.5213701],[126.9633901,37.5215942],[126.9636715,37.5218672],[126.9638805,37.5221788],[126.9640093,37.5225168],[126.9640528,37.5228684],[126.9640093,37.5232199],[126.9638806,37.523558],[126.9636715,37.5238695],[126.9633901,37.5241426]]]}"
153935,2013099,1120011500,11200001,서울특별시 성동구1,서울특별시 성동구 성수동2가(성수역 부근),4,4,0,3,1,0,127.0568582,37.54348728,"{""type"":""Polygon"",""coordinates"":[[[127.0584585,37.5447615],[127.0581156,37.5449856],[127.0577243,37.5451521],[127.0572998,37.5452547],[127.0568582,37.5452893],[127.0564167,37.5452547],[127.0559922,37.5451521],[127.0556009,37.5449856],[127.0552579,37.5447615],[127.0549765,37.5444884],[127.0547674,37.5441769],[127.0546386,37.5438388],[127.0545951,37.5434873],[127.0546386,37.5431357],[127.0547674,37.5427977],[127.0549766,37.5424861],[127.055258,37.5422131],[127.0556009,37.541989],[127.0559922,37.5418224],[127.0564167,37.5417199],[127.0568582,37.5416853],[127.0572997,37.5417199],[127.0577243,37.5418224],[127.0581155,37.541989],[127.0584585,37.5422131],[127.0587399,37.5424861],[127.058949,37.5427977],[127.0590778,37.5431357],[127.0591213,37.5434873],[127.0590779,37.5438388],[127.0589491,37.5441769],[127.05874,37.5444884],[127.0584585,37.5447615]]]}"
153934,2013099,1120011400,11200002,서울특별시 성동구2,서울특별시 성동구 성수동1가(두산식품동부영업소 부근),4,5,0,3,2,0,127.0479293,37.54079459,"{""type"":""Polygon"",""coordinates"":[[[127.0495295,37.5420688],[127.0491866,37.5422929],[127.0487953,37.5424594],[127.0483708,37.542562],[127.0479293,37.5425966],[127.0474878,37.542562],[127.0470632,37.5424594],[127.046672,37.5422929],[127.046329,37.5420688],[127.0460476,37.5417957],[127.0458385,37.5414842],[127.0457097,37.5411461],[127.0456662,37.5407946],[127.0457097,37.540443],[127.0458385,37.540105],[127.0460476,37.5397934],[127.0463291,37.5395204],[127.046672,37.5392963],[127.0470633,37.5391298],[127.0474878,37.5390272],[127.0479293,37.5389926],[127.0483707,37.5390272],[127.0487953,37.5391298],[127.0491865,37.5392963],[127.0495294,37.5395204],[127.0498109,37.5397934],[127.05002,37.540105],[127.0501488,37.540443],[127.0501923,37.5407946],[127.0501488,37.5411461],[127.05002,37.5414842],[127.0498109,37.5417957],[127.0495295,37.5420688]]]}"
161308,2013099,1120011400,11200003,서울특별시 성동구3,서울특별시 성동구 성수동1가(한양종합카쎈타 부근),5,5,0,2,3,0,127.0593651,37.53734838,"{""type"":""Polygon"",""coordinates"":[[[127.0609653,37.5386226],[127.0606224,37.5388467],[127.0602311,37.5390132],[127.0598066,37.5391158],[127.0593651,37.5391504],[127.0589236,37.5391158],[127.0584991,37.5390132],[127.0581079,37.5388467],[127.057765,37.5386226],[127.0574836,37.5383495],[127.0572744,37.538038],[127.0571457,37.5376999],[127.0571022,37.5373484],[127.0571457,37.5369968],[127.0572745,37.5366588],[127.0574836,37.5363472],[127.057765,37.5360742],[127.0581079,37.5358501],[127.0584992,37.5356835],[127.0589237,37.535581],[127.0593651,37.5355464],[127.0598066,37.535581],[127.0602311,37.5356835],[127.0606223,37.5358501],[127.0609652,37.5360742],[127.0612466,37.5363472],[127.0614558,37.5366588],[127.0615846,37.5369968],[127.061628,37.5373484],[127.0615846,37.5376999],[127.0614558,37.538038],[127.0612467,37.5383495],[127.0609653,37.5386226]]]}"
161311,2013099,1120011500,11200004,서울특별시 성동구4,서울특별시 성동구 성수동2가(경동초교입구사거리 부근),6,6,0,3,3,0,127.0504419,37.54634781,"{""type"":""Polygon"",""coordinates"":[[[127.0520422,37.547622],[127.0516993,37.5478461],[127.051308,37.5480126],[127.0508834,37.5481152],[127.0504419,37.5481498],[127.0500003,37.5481152],[127.0495758,37.5480126],[127.0491845,37.5478461],[127.0488415,37.547622],[127.0485601,37.5473489],[127.0483509,37.5470374],[127.0482222,37.5466993],[127.0481787,37.5463478],[127.0482222,37.5459962],[127.048351,37.5456582],[127.0485601,37.5453467],[127.0488416,37.5450736],[127.0491845,37.5448495],[127.0495758,37.544683],[127.0500004,37.5445804],[127.0504419,37.5445458],[127.0508834,37.5445804],[127.0513079,37.544683],[127.0516992,37.5448495],[127.0520422,37.5450736],[127.0523236,37.5453467],[127.0525328,37.5456582],[127.0526616,37.5459962],[127.0527051,37.5463478],[127.0526616,37.5466993],[127.0525328,37.5470374],[127.0523237,37.5473489],[127.0520422,37.547622]]]}"
161602,2013099,1121510100,11215001,서울특별시 광진구1,서울특별시 광진구 중곡동(일반국도3호선-일반국도3호선진 부근),4,4,0,3,1,0,127.0742923,37.55925373,"{""type"":""Polygon"",""coordinates"":[[[127.0758929,37.5605279],[127.0755499,37.560752],[127.0751585,37.5609185],[127.0747339,37.5610211],[127.0742923,37.5610557],[127.0738506,37.5610211],[127.073426,37.5609185],[127.0730346,37.560752],[127.0726916,37.5605279],[127.0724101,37.5602548],[127.072201,37.5599433],[127.0720722,37.5596053],[127.0720287,37.5592537],[127.0720722,37.5589022],[127.072201,37.5585641],[127.0724102,37.5582526],[127.0726917,37.5579795],[127.0730347,37.5577554],[127.073426,37.5575889],[127.0738507,37.5574864],[127.0742923,37.5574517],[127.0747338,37.5574864],[127.0751585,37.5575889],[127.0755498,37.5577554],[127.0758928,37.5579795],[127.0761743,37.5582526],[127.0763835,37.5585641],[127.0765123,37.5589022],[127.0765558,37.5592537],[127.0765123,37.5596053],[127.0763835,37.5599433],[127.0761744,37.5602548],[127.0758929,37.5605279]]]}"
