자치구,자전거전용도로_구간,자전거전용도로_길이,자전거보행자겸용도로_구간,자전거보행자겸용도로_길이,자전거전용차로_구간,자전거전용차로_길이,자전거우선도로_구간,자전거우선도로_길이
종로구,1,4.1,6,5.9,6,5.8,9,7.9
중구,0,0,2,2.4,1,0.7,10,12.3
용산구,3,1.6,8,10.4,0,0,5,10.1
성동구,3,0.6,10,9.2,2,5.5,7,5.3
광진구,1,0.4,17,25.1,1,0.5,3,3.8
동대문구,4,2.5,11,7.4,0,0,7,14.4
중랑구,4,3.2,4,2.9,0,0,0,0
성북구,1,0.3,5,5.3,1,2.4,0,0
강북구,0,0,1,2.7,2,4.3,0,0
도봉구,1,0.7,3,11.6,0,0,0,0
노원구,1,0.9,17,19.9,7,7.5,0,0
은평구,0,0,16,24.6,1,2.3,0,0
서대문구,1,0.4,8,5.9,2,1.9,17,11.2
마포구,5,4.2,4,5.4,7,4.8,17,19
양천구,13,20.2,13,14.7,0,0,2,5.1
강서구,9,5.4,25,22.5,0,0,0,0
구로구,2,1,9,8.1,2,0.8,2,1
금천구,2,3.8,5,4.4,0,0,0,0
영등포구,7,3.3,10,5,12,12.4,14,15.9
동작구,0,0,13,13.1,0,0,1,0.3
관악구,1,3,5,12.2,0,0,9,4.3
서초구,0,0,20,19,3,4.5,0,0
강남구,3,3.1,22,48,2,1.5,0,0
송파구,12,22,37,67.8,1,1.9,0,0
강동구,5,7.2,27,33,1,0.6,0,0
